system,geometry_param,spacing,box,patch_subgrid,patch_radius_factor,coarse_eig0,mixed_eig0,delta,runtime_sec
N2,2.4,0.4,8.0,2,3.0,-7.59499454498291,-7.6955342292785645,-0.1005396842956543,91.0222065448761
N2,2.4,0.4,8.0,2,5.0,-7.59499454498291,-8.164233207702637,-0.5692386627197266,138.87983059883118
