distance_bohr,pyscf_ha,jax_baseline_ha,jax_fine_grid_auto_ha,baseline_minus_pyscf_ha,fine_grid_minus_pyscf_ha
1.6,-17.136138745192767,-17.853145599365234,-17.172466278076172,-0.7170068541724675,-0.036327532883404956
1.8,-17.17423177972857,-17.888851165771484,-17.216392517089844,-0.7146193860429157,-0.042160737361275125
2.0,-17.164516593660295,-17.819002151489258,-17.197765350341797,-0.6544855578289628,-0.033248756681501845
2.4,-17.090786562029535,-20.703100204467773,-17.119346618652344,-3.612313642438238,-0.02856005662280836
