system,geometry_param,spacing,box,patch_subgrid,patch_radius_factor,coarse_eig0,mixed_eig0,delta,runtime_sec
H2O,1.8,0.4,8.0,2,4.0,-9.367304801940918,-9.56507682800293,-0.19777202606201172,76.31916451454163
H2O,1.8,0.4,8.0,3,4.0,-9.367304801940918,-9.5941162109375,-0.22681140899658203,107.35741138458252
H2O,1.8,0.4,8.0,4,4.0,-9.367304801940918,-9.607268333435059,-0.23996353149414062,166.71999263763428
