method,E_total,Eloc_total,Eloc_core_left,Eloc_core_right,Eloc_bond_region,Eloc_outer,electron_count,N_core_left,N_core_right,N_bond_region,N_outer,norm_dev,Eloc_region_error,N_region_error
Adaptive,-1.1531314849853516,-3.653449535369873,-0.7656471133232117,-0.7007125616073608,-0.5699765682220459,-1.6171132326126099,2.000000238418579,0.23144850134849548,0.20449484884738922,0.26179563999176025,1.302261233329773,1.1920928955078125e-07,-5.960464477539063e-08,1.4901161193847656e-08
Uniform,-1.1384917497634888,-3.5997133255004883,-0.6738677620887756,-0.6721500754356384,-0.5547513365745544,-1.6989442110061646,2.0,0.19841447472572327,0.1979771852493286,0.24991926550865173,1.3536890745162964,5.960464477539063e-08,5.960464477539063e-08,0.0
Adaptive-Uniform,-0.014639735221862793,-0.053736209869384766,-0.09177935123443604,-0.028562486171722412,-0.015225231647491455,0.08183097839355469,2.384185791015625e-07,0.03303402662277222,0.006517663598060608,0.01187637448310852,-0.05142784118652344,5.960464477539063e-08,-1.1920928955078125e-07,1.4901161193847656e-08
