method,E_total,Eloc_total,Eloc_core_left,Eloc_core_right,Eloc_bond_region,Eloc_outer,electron_count,N_core_left,N_core_right,N_bond_region,N_outer,norm_dev,Eloc_region_error,N_region_error
Adaptive,-1.1372958421707153,-3.6389851570129395,-0.6980225443840027,-0.6967543363571167,-0.5648530721664429,-1.6793553829193115,2.0,0.20452013611793518,0.20455263555049896,0.2578042149543762,1.333122968673706,1.1920928955078125e-07,1.7881393432617188e-07,4.470348358154297e-08
Uniform,-1.1384931802749634,-3.5997090339660645,-0.6738669872283936,-0.672148585319519,-0.554750382900238,-1.6989431381225586,2.0,0.19841420650482178,0.1979767382144928,0.2499188482761383,1.3536903858184814,1.1920928955078125e-07,5.960464477539063e-08,-1.7881393432617188e-07
Adaptive-Uniform,0.0011973381042480469,-0.039276123046875,-0.02415555715560913,-0.024605751037597656,-0.010102689266204834,0.01958775520324707,0.0,0.006105929613113403,0.0065758973360061646,0.007885366678237915,-0.02056741714477539,0.0,1.1920928955078125e-07,2.2351741790771484e-07
