z,rho_adaptive,rho_uniform,delta_rho,eloc_adaptive,eloc_uniform,delta_eloc
-2.299999952316284,0.001985396258533001,0.001871062908321619,0.00011433335021138191,-0.0014825244434177876,-0.001327363308519125,-0.00015516113489866257
-2.2924997806549072,0.002031245967373252,0.001905660959891975,0.000125585007481277,-0.0015241147484630346,-0.0013565521221607924,-0.00016756262630224228
-2.2850000858306885,0.0020770926494151354,0.001940256799571216,0.00013683584984391928,-0.0015657023759558797,-0.0013857391895726323,-0.00017996318638324738
-2.2774999141693115,0.0021229423582553864,0.001974854851141572,0.00014808750711381435,-0.0016072926810011268,-0.0014149280032142997,-0.0001923646777868271
-2.2699999809265137,0.0021687906701117754,0.002009451622143388,0.0001593390479683876,-0.001648881589062512,-0.0014441158855333924,-0.0002047657035291195
-2.262500047683716,0.002214638749137521,0.0020440486259758472,0.00017059012316167355,-0.001690470613539219,-0.001473303884267807,-0.0002171667292714119
-2.254999876022339,0.0022604884579777718,0.0020786465611308813,0.00018184189684689045,-0.0017320608021691442,-0.0015024926979094744,-0.00022956810425966978
-2.247499704360962,0.0023063381668180227,0.002113244729116559,0.0001930934377014637,-0.0017736511072143912,-0.0015316815115511417,-0.0002419695956632495
-2.240000009536743,0.002352184848859906,0.0021478403359651566,0.00020434451289474964,-0.0018152387347072363,-0.0015608685789629817,-0.0002543701557442546
-2.232499837875366,0.002398034557700157,0.0021824385039508343,0.0002155960537493229,-0.0018568290397524834,-0.001590057392604649,-0.0002667716471478343
-2.2249999046325684,0.002443882869556546,0.00221703527495265,0.00022684759460389614,-0.0018984180642291903,-0.0016192452749237418,-0.00027917278930544853
-2.2174999713897705,0.0024897309485822916,0.0022516322787851095,0.00023809866979718208,-0.0019400069722905755,-0.0016484331572428346,-0.00029157381504774094
-2.2100000381469727,0.0025355792604386806,0.002286229282617569,0.0002493499778211117,-0.0019815959967672825,-0.0016776211559772491,-0.00030397484079003334
-2.2024998664855957,0.0025814289692789316,0.002320827217772603,0.0002606017515063286,-0.0020231863018125296,-0.0017068099696189165,-0.00031637633219361305
-2.194999933242798,0.002627277048304677,0.0023554242216050625,0.0002718528266996145,-0.0020647752098739147,-0.0017359978519380093,-0.00032877735793590546
-2.1875,0.002673125360161066,0.0023900209926068783,0.0002831043675541878,-0.0021063641179353,-0.0017651858506724238,-0.00034117826726287603
-2.179999828338623,0.002718975069001317,0.002424619160592556,0.000294355908408761,-0.002147954422980547,-0.0017943746643140912,-0.00035357975866645575
-2.172499895095825,0.0027648231480270624,0.002459215931594372,0.0003056072164326906,-0.002189543331041932,-0.001823562546633184,-0.00036598078440874815
-2.1649999618530273,0.0028106714598834515,0.0024938129354268312,0.0003168585244566202,-0.002231132471933961,-0.0018527504289522767,-0.0003783820429816842
-2.1575000286102295,0.0028565197717398405,0.002534252591431141,0.0003222671803086996,-0.002272721379995346,-0.001888119033537805,-0.000384602346457541
-2.1500000953674316,0.002902367850765586,0.00258637685328722,0.0003159909974783659,-0.0023143102880567312,-0.0019358483841642737,-0.0003784619038924575
-2.1424999237060547,0.002948217559605837,0.0026385029777884483,0.00030971458181738853,-0.0023559005931019783,-0.001983579248189926,-0.00037232134491205215
-2.135000228881836,0.0029940642416477203,0.0026906258426606655,0.0003034383989870548,-0.002397488337010145,-0.0020313069690018892,-0.00036618136800825596
-2.127500057220459,0.0030399139504879713,0.00274275173433125,0.0002971622161567211,-0.0024390786420553923,-0.00207903771661222,-0.00036004092544317245
-2.119999885559082,0.0030857636593282223,0.0027948778588324785,0.00029088580049574375,-0.0024806687142699957,-0.0021267684642225504,-0.0003539002500474453
-2.112499952316284,0.0031316119711846113,0.0028470023535192013,0.00028460961766541004,-0.0025222578551620245,-0.002174497814849019,-0.00034776004031300545
-2.1050000190734863,0.0031774600502103567,0.002899126848205924,0.0002783332020044327,-0.0025638467632234097,-0.0022222271654754877,-0.00034161959774792194
-2.0974998474121094,0.0032233097590506077,0.0029512527398765087,0.00027205701917409897,-0.0026054370682686567,-0.0022699579130858183,-0.00033547915518283844
-2.0899999141693115,0.0032691580709069967,0.0030033772345632315,0.00026578083634376526,-0.002647025976330042,-0.0023176870308816433,-0.0003293389454483986
-2.0824999809265137,0.003315006149932742,0.0030555017292499542,0.0002595044206827879,-0.002688614884391427,-0.002365416381508112,-0.0003231985028833151
-2.0749998092651367,0.003360855858772993,0.0031076278537511826,0.00025322800502181053,-0.002730205189436674,-0.0024131471291184425,-0.0003170580603182316
-2.067500114440918,0.00340670277364552,0.003159750485792756,0.00024695228785276413,-0.002771792933344841,-0.0024608750827610493,-0.00031091785058379173
