R_bohr,adaptive_energy,adaptive_dE,adaptive_electron_count,adaptive_norm_dev,adaptive_eig0,adaptive_eigvals,adaptive_status,adaptive_grid_shape
0.8,3.615765333175659,0.9846875667572021,1.9999998807907104,5.960464477539063e-08,1.2282096147537231,1.22820961,ok,"(51, 51, 51)"
1.0,3.366100788116455,0.735023021697998,2.0000007152557373,2.384185791015625e-07,1.2285274267196655,1.22852743,ok,"(51, 51, 52)"
1.2,3.1828975677490234,0.5518198013305664,2.000000238418579,1.1920928955078125e-07,1.219896912574768,1.21989691,ok,"(51, 51, 52)"
1.4,3.2307863235473633,0.5997085571289062,1.9999994039535522,5.960464477539063e-08,1.3036221265792847,1.30362213,ok,"(51, 51, 53)"
1.6,3.011213779449463,0.38013601303100586,2.000000476837158,1.1920928955078125e-07,1.2381224632263184,1.23812246,ok,"(51, 51, 53)"
2.0,2.832535982131958,0.20145821571350098,2.0,0.0,1.2110975980758667,1.21109760,ok,"(51, 51, 54)"
2.4,2.7865123748779297,0.15543460845947266,2.0,0.0,1.2294018268585205,1.22940183,ok,"(51, 51, 55)"
2.8,2.6706910133361816,0.03961324691772461,1.999999761581421,0.0,1.202205777168274,1.20220578,ok,"(51, 51, 56)"
3.2,2.631077766418457,0.0,2.0,1.1920928955078125e-07,1.2042258977890015,1.20422590,ok,"(51, 51, 57)"
