system,geometry_param,spacing,box,patch_subgrid,patch_radius_factor,coarse_eig0,mixed_eig0,delta,runtime_sec
H2O,1.8,0.4,8.0,2,3.0,-9.367304801940918,-9.457815170288086,-0.09051036834716797,75.74865460395813
H2O,1.8,0.4,8.0,2,5.0,-9.367304801940918,-9.902132034301758,-0.5348272323608398,91.21333169937134
