z,rho_adaptive,rho_uniform,delta_rho,eloc_adaptive,eloc_uniform,delta_eloc
-2.127500057220459,0.0026457335334271193,0.0027426343876868486,-9.690085425972939e-05,-0.0020067794248461723,-0.0020789492409676313,7.216981612145901e-05
-2.119999885559082,0.0026844169478863478,0.002794760512188077,-0.0001103435643017292,-0.002040109597146511,-0.0021266797557473183,8.657015860080719e-05
-2.112499952316284,0.002723099198192358,0.0028468852397054434,-0.00012378604151308537,-0.002073438838124275,-0.0021744088735431433,0.00010097003541886806
-2.1050000190734863,0.0027617814484983683,0.002899009734392166,-0.00013722828589379787,-0.0021067678462713957,-0.002222138224169612,0.00011537037789821625
-2.0974998474121094,0.0028004648629575968,0.002951136091724038,-0.00015067122876644135,-0.0021400980185717344,-0.002269868738949299,0.00012977072037756443
-2.0899999141693115,0.0028391473460942507,0.003003260586410761,-0.0001641132403165102,-0.0021734272595494986,-0.002317597856745124,0.0001441705971956253
-2.0824999809265137,0.002889531198889017,0.0030553853139281273,-0.00016585411503911018,-0.0022194879129529,-0.0023653272073715925,0.0001458392944186926
-2.0749998092651367,0.0029516795184463263,0.0031075116712599993,-0.00015583215281367302,-0.002278347499668598,-0.0024130577221512794,0.00013471022248268127
-2.067500114440918,0.0030138238798826933,0.0031596345361322165,-0.00014581065624952316,-0.002337203361093998,-0.0024607854429632425,0.00012358208186924458
-2.059999942779541,0.003075971966609359,0.0032117608934640884,-0.00013578892685472965,-0.002396062947809696,-0.002508516190573573,0.00011245324276387691
-2.052500009536743,0.003138118190690875,0.003263885388150811,-0.00012576719745993614,-0.002454920671880245,-0.002556245308369398,0.00010132463648915291
-2.0450000762939453,0.0032002644147723913,0.003316009882837534,-0.00011574546806514263,-0.0025137783959507942,-0.002603974426165223,9.01960302144289e-05
-2.0374999046325684,0.0032624127343297005,0.003368136240169406,-0.00010572350583970547,-0.0025726379826664925,-0.0026517051737755537,7.906719110906124e-05
-2.0299997329711914,0.0033245610538870096,0.003420262597501278,-9.57015436142683e-05,-0.0026314975693821907,-0.0026994356885552406,6.793811917304993e-05
-2.0225000381469727,0.003386705182492733,0.003472385462373495,-8.56802798807621e-05,-0.0026903534308075905,-0.0027471634093672037,5.680997855961323e-05
-2.0149998664855957,0.003448853502050042,0.003524511819705367,-7.565831765532494e-05,-0.0027492130175232887,-0.0027948941569775343,4.568113945424557e-05
-2.007499933242798,0.0035109997261315584,0.00357663631439209,-6.563658826053143e-05,-0.0028080707415938377,-0.0028426232747733593,3.455253317952156e-05
-2.0,0.0035731459502130747,0.0036287610419094563,-5.561509169638157e-05,-0.0028669284656643867,-0.0028903523925691843,2.3423926904797554e-05
-1.9925000667572021,0.003635292174294591,0.003680885536596179,-4.559336230158806e-05,-0.0029257861897349358,-0.0029380815103650093,1.2295320630073547e-05
-1.9850000143051147,0.0036974395625293255,0.0037330109626054764,-3.5571400076150894e-05,-0.0029846448451280594,-0.002985811559483409,1.1667143553495407e-06
-1.9774999618530273,0.0037595867179334164,0.003794050309807062,-3.446359187364578e-05,-0.0030435037333518267,-0.0030439661350101233,4.624016582965851e-07
-1.9699997901916504,0.0038217350374907255,0.003872913308441639,-5.117827095091343e-05,-0.003102363320067525,-0.003122965106740594,2.0601786673069e-05
-1.962499976158142,0.0038838800974190235,0.003951772581785917,-6.789248436689377e-05,-0.0031612201128154993,-0.0032019605860114098,4.0740473195910454e-05
-1.9549999237060547,0.003946027252823114,0.004030634183436632,-8.460693061351776e-05,-0.003220078768208623,-0.003280958393588662,6.0879625380039215e-05
-1.9474999904632568,0.004008173476904631,0.004109494853764772,-0.00010132137686014175,-0.003278936492279172,-0.0033599548041820526,8.101831190288067e-05
-1.9399999380111694,0.004070321097970009,0.004188356455415487,-0.00011803535744547844,-0.0033377951476722956,-0.0034389528445899487,0.00010115769691765308
-1.9325001239776611,0.0041324663907289505,0.004267215728759766,-0.00013474933803081512,-0.00339665194042027,-0.003517948091030121,0.00012129615060985088
-1.9249999523162842,0.004194614477455616,0.004346078727394342,-0.00015146424993872643,-0.003455511527135968,-0.0035969470627605915,0.0001414355356246233
-1.9174998998641968,0.004256761632859707,0.004424940329045057,-0.00016817869618535042,-0.003514370182529092,-0.003675944870337844,0.00016157468780875206
-1.9100000858306885,0.0043189069256186485,0.004503799602389336,-0.0001848926767706871,-0.0035732269752770662,-0.0037549403496086597,0.0001817133743315935
-1.9024999141693115,0.004381055012345314,0.004582662601023912,-0.0002016075886785984,-0.0036320865619927645,-0.0038339393213391304,0.00020185275934636593
-1.8949998617172241,0.004457124508917332,0.004661524202674627,-0.0002043996937572956,-0.0037078349851071835,-0.0039129373617470264,0.000205102376639843
-1.8874998092651367,0.0045509496703743935,0.004740385804325342,-0.00018943613395094872,-0.0038051235023885965,-0.003991934936493635,0.00018681143410503864
-1.8799998760223389,0.004644773434847593,0.0048192464746534824,-0.00017447303980588913,-0.0039024101570248604,-0.004070931579917669,0.00016852142289280891
-1.8724998235702515,0.004738598130643368,0.004898108076304197,-0.00015950994566082954,-0.00399969844147563,-0.004149929154664278,0.00015023071318864822
-1.8650000095367432,0.004832420032471418,0.004976967349648476,-0.00014454731717705727,-0.004096983931958675,-0.0042289248667657375,0.00013194093480706215
